communityname,state,region,population,RuralUrban,medIncome,PctPopUnderPov,PctFam2Par,PctHousOwnOcc,PolicBudgPerPop,ViolentCrimesperPop
EastLongmeadowtown,MA,North-East,13367,urban,41372,2,85,86,276,27119
Roselleborough,NJ,North-East,20314,urban,40431,5,72,62,483,3032
Westfieldtown,NJ,North-East,28870,urban,66760,1,89,81,88,2170
Centraliacity,WA,West,12101,rural,21618,16,66,56,537,7249
Bentoncity,AR,South,18177,rural,24353,12,78,70,460,4682
Concordcity,NH,North-East,36006,rural,32733,6,73,52,136,4361
LaPalmacity,CA,West,15392,urban,54364,5,83,74,372,4090
Summervilletown,SC,South,22519,urban,31448,9,77,59,699,7323
Middletoncity,WI,Mid-West,13289,urban,34859,5,75,48,75,3295
Waterloocity,IA,Mid-West,66467,urban,23578,16,67,65,661,
Geneseetownship,MI,Mid-West,24093,urban,30160,13,66,84,,3470
NewBraunfelscity,TX,South,27334,rural,26409,14,76,63,1726,5293
ElCampocity,TX,South,10511,rural,21049,22,74,61,622,5921
Hemetcity,CA,West,36094,urban,20382,14,62,62,920,8139
Nacogdochescity,TX,South,30872,rural,15917,31,64,41,689,4280
Laconiacity,NH,North-East,15743,rural,29116,8,71,56,627,6194
Bristoltown,CT,North-East,60640,urban,38261,4,77,62,,3043
ChulaVistacity,CA,West,135163,urban,32012,9,73,53,721,6100
Reddingcity,CA,West,66462,urban,25828,14,67,53,631,6142
Nilescity,MI,Mid-West,12456,urban,23700,13,73,58,,6876
Normancity,OK,South,80071,urban,25165,15,75,51,230,4965
Springfieldtownship,OH,Mid-West,13352,urban,32713,8,82,82,452,3389
WestHollywoodcity,CA,West,36118,urban,29314,11,67,22,2507,9827
Erlangercity,KY,South,15979,urban,33502,5,78,67,591,3137
MountPleasanttown,WI,Mid-West,20084,urban,38920,4,82,73,210,3425
Lynchburgcity,VA,South,66049,urban,23726,16,64,58,753,4630
Livoniacity,MI,Mid-West,100850,urban,48645,2,87,88,,
Farmingtoncity,MI,Mid-West,10132,urban,41040,3,75,63,,4002
NorthArlingtonborough,NJ,North-East,13790,urban,39433,3,83,56,155,2629
Wickliffecity,OH,Mid-West,14558,urban,32964,4,79,84,130,2181
Selmacity,CA,West,14757,rural,21198,24,50,55,1339,5630
Bartletttown,TN,South,26989,urban,47346,2,88,90,204,
Mundytownship,MI,Mid-West,11511,urban,43937,3,83,86,,4083
Metuchenborough,NJ,North-East,12804,urban,53226,2,83,78,183,2699
NorthLittleRockcity,AR,South,61741,urban,23958,17,63,58,1020,11250
NewHaventown,CT,North-East,130474,urban,25811,21,45,31,2127,10988
Eveshamtownship,NJ,North-East,35309,urban,51676,2,86,76,182,2321
GreenBaycity,WI,Mid-West,96466,urban,26770,13,73,56,435,4114
Maywoodcity,CA,West,27850,urban,25567,21,71,30,865,2670
GrandForkscity,ND,Mid-West,49425,urban,25456,14,75,48,121,5247
Kelsocity,WA,West,11820,urban,23887,20,63,53,739,8155
Conwaycity,AR,South,26481,rural,22291,16,75,55,267,4933
Rocklincity,CA,West,19033,urban,40417,5,79,66,170,2724
Gallupcity,NM,West,19154,rural,26622,22,65,60,1607,11977
Hamptontownship,PA,North-East,15568,urban,45538,2,90,88,107,1250
McAlestercity,OK,South,16370,rural,19906,19,68,67,428,4078
HainesCitycity,FL,South,11683,rural,20347,20,56,60,1083,10253
Collingswoodborough,NJ,North-East,15289,urban,33026,6,73,54,408,4817
Petalumacity,CA,West,43184,rural,40926,4,78,66,517,3570
MountPleasantcity,TX,South,12291,rural,20743,24,65,62,358,5408
UniversityParkcity,TX,South,22259,urban,53614,6,83,61,135,2583
Williamsportcity,PA,North-East,31933,urban,20290,21,61,46,316,6255
Sparkscity,NV,West,53367,urban,32420,7,72,54,491,
Woodhavencity,MI,Mid-West,11631,urban,47513,3,87,70,,5862
LagunaBeachcity,CA,West,23170,urban,53419,6,76,59,794,5939
Tustincity,CA,West,50689,urban,38433,6,73,40,345,5361
Lancastercity,OH,Mid-West,34507,rural,22430,14,74,59,,4127
