MeetID,Name,Gender,Equipment,Uses Equipment,Division,Bodyweight (Kg),WeightClass (Kg),BestSquat (Kg),BestBench (Kg),BestDeadlift (Kg),Total (Kg),Place,Wilks
5643,Andrew Isfort,M,Multi-ply,Y,Junior,86.64,C90,188.24,133.81,215.46,537.51,2,350.11
5023,Cayte Bona,F,Multi-ply,Y,Pro Open,66.22,C67.5,172.37,111.13,167.83,451.32,1,467.05
227,Cory Velting,M,Multi-ply,Y,M4-E,109.6,C110,260,142.5,262.5,665,1,391.79
5323,Jackie Houseman,M,Multi-ply,Y,Open,82.1,C82.5,,92.99,163.29,256.28,1,172.19
5395,Jamie Griffin,M,Multi-ply,Y,Masters 50-54,90,C90,,174.63,,174.63,1,111.48
5373,JB Hill,M,Multi-ply,Y,Submasters,117.5,C117.5,,260.82,,260.82,1,150.71
5392,Jeff Weaver,M,Multi-ply,Y,Masters 40-44,117.5,C117.5,,288.03,,288.03,1,166.43
5408,John Burns,M,Multi-ply,Y,Open,117.48,C125,,249.48,,249.48,1,144.17
5392,Jonathan Britt,M,Multi-ply,Y,Juniors,82.5,C82.5,,167.83,,167.83,1,112.43
1299,Radostina Lulova,F,Multi-ply,Y,Open,68.25,C75,,,182.5,182.5,1,184.8
5388,Richard Hawthorne,M,Multi-ply,Y,Open,59.42,C60,,,276.69,276.69,1,238.09
5576,Travis Bell,M,Multi-ply,Y,Open,118.84,C125,,374.21,,374.21,1,215.63
145,Aaron Thompson,M,Raw,N,,139.9,C120+,300,172.5,300,772.5,3,431.72
891,Aaron Valenta,M,Raw,N,Open,82.8,C83,170,102.5,227.5,500,4,334.23
8373,Adam Apacible,M,Raw,N,Open,97.6,C100,190,142.5,230,562.5,5,345.77
6946,Adam Blalock,M,Raw,N,R-O,124.6,C125,235,160,270,665,1,379.19
7763,Adam Loyd,M,Raw,N,Open Men,134.54,C140,,220,,220,1,123.7
5237,Adam Miller,M,Raw,N,M-MW,82.2,C82.5,272.5,187.5,285,745,4,500.17
964,Adam Veyt,M,Raw,N,Master 1,99.1,C105,182.5,137.5,217.5,537.5,1,328.31
7196,Adam Windschitl,M,Raw,N,R-O,110,C110,197.4,127.5,227.5,552.4,3,325.08
7352,Aimbora Kitoi,F,Raw,N,R-O,67.4,C72,120,60,170,350,3,357.6
1299,Aleš Josiek,M,Raw,N,M1,142.2,C140+,,225,,225,2,125.44
4667,Alecxie Osorio,F,Raw,N,,62.4,C63,95,42.5,122.5,260,3,281.26
8456,Aleksey Sheykin,M,Raw,N,Amateur Open,89.9,C90,,,300,300,3,191.63
1454,Alex McQuillen,M,Raw,N,M-LW,65.95,C66,205,127.5,227.5,560,2,439.98
7692,Alexander Williams,M,Raw,N,Open Men,88.45,C90,185,137.5,212.5,535,2,344.622
6685,Alexandra Batko,F,Raw,N,R-T2,56.6,C57,95,32.5,92.5,220,2,256.7
7178,Alexis Martinez,M,Raw,N,R-O,85,C93,185,112.5,200,497.5,13,327.52
8148,Alicia Garcia,F,Raw,N,Open,68.2,C75,,,137.5,137.5,1,139.31
1466,Allen Ottolangui,M,Raw,N,Masters 2,73.4,C74,175,95,185,455,6,329.19
